"ID","Nombre del negocio","Ciudad/departamento","Tipo de negocio","WhatsApp/teléfono","Facebook/Instagram/TikTok/web","Dueño o encargado","Señal de demanda","Problema probable","Prioridad A/B/C","Fuente del dato","Estado","Observación"
"CH16-001","Roxi","Choluteca / Choluteca","Salon de belleza","No encontrado","No encontrado","No encontrado","Ficha publica de OpenStreetMap como negocio de belleza","Responder horarios ubicacion servicios y disponibilidad","C","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3165965168","Pendiente","Choluteca tuvo pocos resultados publicos; requiere investigacion manual adicional."
"CH16-002","barberia enrique","Choluteca / Choluteca","Barberia","No encontrado","No encontrado","No encontrado","Ficha publica de OpenStreetMap como hairdresser en 5a Avenida O","Responder horarios ubicacion servicios y citas","B","OpenStreetMap / Nominatim - https://www.openstreetmap.org/node/11101836605","Pendiente","Choluteca tuvo pocos resultados publicos; requiere investigacion manual adicional."
"AT16-001","Barbería Omar","La Ceiba / Atlántida","Barberia","No encontrado","https://www.facebook.com/BarberiaOmar/","No encontrado","Ficha publica con Facebook visible en OpenStreetMap","Convertir mensajes de Facebook en consultas por WhatsApp o demo","A","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/6925731934","Pendiente","Contacto social visible; validar WhatsApp antes de outreach."
"AT16-002","Beauty Studio KR","La Ceiba / Atlántida","Beauty studio","No encontrado","No encontrado","No encontrado","Ficha publica con direccion Monte Carlo y categoria beauty","Ordenar citas por servicios de belleza y disponibilidad","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/5525611496","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-003","Sala de Belleza Loreal","La Ceiba / Atlántida","Salon de belleza","No encontrado","No encontrado","No encontrado","Ficha publica en Avenida Bastilla con categoria beauty","Responder horarios servicios precios y disponibilidad","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/5654674672","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-004","Silvia Beauty Salon","La Ceiba / Atlántida","Salon de belleza","No encontrado","No encontrado","No encontrado","Ficha publica de hairdresser en La Ceiba","Ordenar citas y consultas frecuentes por servicios","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4203619194","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-005","Barbería Mónicos","La Ceiba / Atlántida","Barberia","No encontrado","No encontrado","No encontrado","Ficha publica de barberia en La Ceiba","Responder ubicacion horarios servicios y disponibilidad","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4205955857","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-006","Dasha Salon","La Ceiba / Atlántida","Salon / hairdresser","No encontrado","No encontrado","No encontrado","Ficha publica de salon en La Ceiba","Ordenar agenda por servicio y responder disponibilidad","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4205955872","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-007","Barbería Galaxia","La Ceiba / Atlántida","Barberia","No encontrado","No encontrado","No encontrado","Ficha publica de barberia en La Ceiba","Responder horarios ubicacion precios y citas","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4206099389","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-008","Barbería","La Ceiba / Atlántida","Barberia","No encontrado","No encontrado","No encontrado","Ficha publica generica de barberia en La Ceiba","Responder ubicacion horarios y servicios","C","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4205955896","Pendiente","Nombre generico; validar identidad antes de outreach."
"AT16-009","Jocelin's Beauty Salon","Tela / Atlántida","Salon de belleza","No encontrado","No encontrado","No encontrado","Ficha publica de beauty salon en Tela","Ordenar citas por servicio y consultas frecuentes","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4199397724","Pendiente","Contacto no encontrado en fuente consultada."
"AT16-010","Sala de Belleza Karlas","Tela / Atlántida","Salon de belleza","No encontrado","No encontrado","No encontrado","Ficha publica de sala de belleza en Tela","Responder horarios servicios precios y citas","B","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4199830678","Pendiente","Contacto no encontrado en fuente consultada."
