Semana,Fechas,Fase,Plataforma,Formato,Concepto,Copy A,Copy B,CTA,Estado,Notas
S1,2026-06-15 a 2026-06-21,Conciencia del dolor,Facebook/Instagram,Feed,"3 senales de que tu barberia necesita ordenar sus citas","Si tus citas viven en WhatsApp, tu agenda depende de memoria.","Cada cita perdida tambien es dinero perdido.","Escribinos y revisamos tu flujo de citas",Pendiente,"Requiere pieza y captura"
S1,2026-06-15 a 2026-06-21,Conciencia del dolor,Instagram,Story,"Encuesta sobre citas perdidas y clientes que no llegan","Te pasa que un cliente dice que iba y no llega?","Cuantas citas se te pierden por semana?","Responder encuesta",Pendiente,"Guardar captura"
S1,2026-06-15 a 2026-06-21,Conciencia del dolor,TikTok/Reel,Video,"POV dueno respondiendo WhatsApp mientras atiende","Cuando estas cortando pelo y tambien contestando citas.","Tu agenda no deberia depender de contestar rapido cada mensaje.","Enviar WhatsApp",Pendiente,"Grabar vertical"
S1,2026-06-15 a 2026-06-21,Conciencia del dolor,WhatsApp,Outreach,"Observacion de oportunidad","Vi que manejan citas por redes y WhatsApp; BarberAI podria ayudarles a ordenar solicitudes.","Una pregunta rapida: hoy como controlan citas y confirmaciones?","Responder por WhatsApp",Pendiente,"Usar solo prospectos reales"
S2,2026-06-22 a 2026-06-28,Solucion/demo,Facebook/Instagram,Feed,"Demo visual de agenda, servicios y WhatsApp","Agenda, servicios y respuestas en un solo flujo.","Menos mensajes sueltos, mas citas confirmadas.","Agenda una demo gratis",Pendiente,"Necesita capturas"
S2,2026-06-22 a 2026-06-28,Solucion/demo,TikTok/Reel,Video,"Demo corta de consulta y agenda","Asi se ve cuando una consulta se convierte en cita.","BarberAI ayuda a responder y ordenar sin complicarte.","Ver demo",Pendiente,"Usar pantalla demo"
S3,2026-06-29 a 2026-07-05,Prueba social,Facebook/Instagram,Feed,"Caso ejemplo sin cliente inventado","Asi se ordena una barberia con varias citas al dia.","Tu equipo atiende; BarberAI ayuda a no perder solicitudes.","Mira la demo",Pendiente,"Marcar como ejemplo"
S4,2026-07-06 a 2026-07-12,Oferta/demo gratis,Facebook/Instagram,Feed,"Demo gratis para barberias seleccionadas","Estamos abriendo demos gratis para barberias de Honduras.","Probemos si BarberAI puede ordenar tus citas esta semana.","Reserva tu demo",Pendiente,"Definir cupos"
S5,2026-07-13 a 2026-07-19,Educacion sobre IA,Facebook/Instagram,Carrusel,"Que puede responder un agente de IA","IA no es complicarte; es responder mejor cuando estas ocupado.","Tu cliente pregunta, BarberAI ayuda a contestar y ordenar.","Pregunta como funcionaria",Pendiente,"Evitar tecnicismos"
S6,2026-07-20 a 2026-07-26,Antes vs despues,TikTok/Reel,Video,"Mensajes sueltos vs citas organizadas","Antes: mensajes perdidos. Despues: citas con seguimiento.","Antes: todo en la cabeza. Despues: informacion visible.","Haz tu diagnostico gratis",Pendiente,"Requiere guion"
S7,2026-07-27 a 2026-08-02,Urgencia/cupos,Instagram,Story,"Conteo de demos disponibles","Esta semana hay cupos para revisar 4 barberias.","Si queres ordenar citas este mes, empecemos con una demo.","Aparta un espacio",Pendiente,"No usar urgencia falsa"
S8,2026-08-03 a 2026-08-09,Retargeting/cierre,WhatsApp,Outreach,"Cierre amable a interesados","Si ya lo pensaste, el siguiente paso es ver tu caso.","Estas a un mensaje de ordenar la agenda de tu barberia.","Hablemos por WhatsApp",Pendiente,"Registrar cierres y descartes"
