ID,Nombre del negocio,Ciudad/departamento,Tipo de negocio,WhatsApp/teléfono,Facebook/Instagram/TikTok/web,Dueño o encargado,Señal de demanda,Problema probable,Prioridad A/B/C,Fuente del dato,Estado,Observación
M16-001,Barberia Chirino,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica con horario 10:00-19:00 y operador Chirino en OpenStreetMap,Responder horarios ubicacion precios y disponibilidad por WhatsApp,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/way/484989462,Pendiente,Prospecto nuevo; no aparece en prospectos previos de Comayagua.
M16-002,Barberia Rapha,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en zona Miraflores de Tegucigalpa,Canalizar consultas de ubicacion horarios servicios y citas,C,OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/421155902,Pendiente,Contacto no encontrado en la fuente consultada.
M16-003,Barberia Dimas Jr.,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia sobre carretera Tegucigalpa-Talanga,Responder preguntas repetidas y ordenar solicitudes de cita,C,OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/485043254,Pendiente,Contacto no encontrado en la fuente consultada.
M16-004,Barberia el Master,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en Paseo Villa Olimpica,Responder horarios servicios precios y disponibilidad,B,OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/421147534,Pendiente,Contacto no encontrado en la fuente consultada.
M16-005,Barberia Lasue,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en Avenida Principal El Hato,Atender consultas por ubicacion horarios y reservas,C,OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/421287119,Pendiente,Contacto no encontrado en la fuente consultada.
M16-006,La Barberia,Tegucigalpa / Francisco Morazan,Barberia,No encontrado,No encontrado,No encontrado,Ficha publica de barberia en Bulevar Centroamerica,Convertir mensajes de redes o llamadas en citas ordenadas,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4210868823,Pendiente,No duplicar con La Barberia de Ney de Comayagua; es otro registro y ciudad.
M16-007,Lomas del Bulevar,Tegucigalpa / Francisco Morazan,Salon de belleza,No encontrado,No encontrado,No encontrado,Ficha publica de negocio beauty en Bulevar Morazan,Ordenar citas por servicio y responder disponibilidad,B,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3106167281,Pendiente,Contacto no encontrado en la fuente consultada.
M16-008,Esther Sala de Belleza,Tegucigalpa / Francisco Morazan,Salon de belleza,No encontrado,No encontrado,No encontrado,Ficha publica de salon de belleza en Tegucigalpa,Responder servicios horarios ubicacion y agendamiento,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3121133276,Pendiente,Contacto no encontrado en la fuente consultada.
M16-009,Girl Sensation,Tegucigalpa / Francisco Morazan,Salon de belleza,No encontrado,No encontrado,No encontrado,Ficha publica de salon beauty en Tegucigalpa,Ordenar agenda por servicios y consultas frecuentes,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3121133277,Pendiente,Contacto no encontrado en la fuente consultada.
M16-010,Los Profesionales,Tegucigalpa / Francisco Morazan,Peluqueria / hairdresser,No encontrado,No encontrado,No encontrado,Ficha publica de hairdresser en Tegucigalpa,Responder disponibilidad horarios y ubicacion,C,OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3153483431,Pendiente,Contacto no encontrado en la fuente consultada.
