"id","nombre_negocio","ciudad_departamento","tipo_negocio","telefono_whatsapp","red_social_web","canal_disponible","prioridad_A_B_C","señal_demanda","problema_probable","oportunidad_barberai","estado","fuente_o_evidencia","observaciones"
"B-001","Owen Club Barber","Comayagua centro / Calle Real, cerca de HONDUTEL","Barberia","No encontrado publicamente","https://www.instagram.com/owenclubbarber/ | https://book.heygoldie.com/OWEN-CLUBBARBER","Instagram | web","A","Reservas online, servicios con precios, horarios y clientes con citas","Automatizar preguntas frecuentes, reservas, confirmaciones por WhatsApp, servicios, precios y horarios","Automatizar preguntas frecuentes, reservas, confirmaciones por WhatsApp, servicios, precios y horarios","Pendiente","HeyGoldie / Instagram","Telefono no confirmado publicamente; usa reservas online y confirmacion por WhatsApp"
"B-002","E Cavaleiro","Comayagua / Barrio El Centro","Barberia profesional","+504 9266-9247","https://www.facebook.com/Ecavaleirohn/ | https://www.instagram.com/ecavaleirohn/","telefono | Facebook | Instagram | WhatsApp","A","Redes activas, horario publico y WhatsApp para citas","Atender mensajes repetidos, agendar citas y responder horarios/servicios","Atender mensajes repetidos, agendar citas y responder horarios/servicios","Pendiente","Facebook / Instagram",""
"B-003","NOVO Studio & Barber","Comayagua","Studio & barberia","+504 3193-8081","https://www.instagram.com/novo.studiohn/","telefono | Instagram","A","Promociona agenda de citas y servicios de belleza/barberia con redes","Centralizar reservas, responder disponibilidad, explicar servicios y captar clientes desde redes","Centralizar reservas, responder disponibilidad, explicar servicios y captar clientes desde redes","Pendiente","Instagram / Comayagua Digital",""
"B-004","Blessing Barber Shop","Comayagua","Barberia","+504 9644-1679","https://www.facebook.com/61577737670444/","telefono | Facebook | WhatsApp","B","Publica agendamiento por WhatsApp y atencion directa","Captar citas desde WhatsApp, responder horarios y ordenar solicitudes","Captar citas desde WhatsApp, responder horarios y ordenar solicitudes","Pendiente","Facebook",""
"B-005","0101 Barber Shop Comayagua","Premium Plaza, nivel 2, Comayagua","Barberia","No encontrado publicamente","https://www.instagram.com/0101barbershop_comayagua/","Instagram","B","Instagram publico, ubicacion en plaza comercial y oferta de servicios premium","Responder consultas desde Instagram/WhatsApp, mostrar servicios y convertir mensajes en reservas","Responder consultas desde Instagram/WhatsApp, mostrar servicios y convertir mensajes en reservas","Pendiente","Instagram","Telefono no confirmado publicamente"
"B-006","ISAI Barber Shop Comayagua","Plaza Centro HN, Comayagua","Barberia","No encontrado publicamente","https://www.facebook.com/isaibarbershop/","Facebook","B","Vinculado a Plaza Centro y presencia en redes","Ordenar mensajes, reservas y preguntas frecuentes desde Facebook o WhatsApp","Ordenar mensajes, reservas y preguntas frecuentes desde Facebook o WhatsApp","Pendiente","Facebook","Telefono no confirmado publicamente"
"B-007","Atlantic BarberShop Comayagua","Comayagua","Barberia","No encontrado publicamente","https://www.facebook.com/2021mejia/","Facebook","C","Presencia en Facebook y publicaciones relacionadas con barberia en Comayagua","Automatizar consultas de precios, horarios, ubicacion y disponibilidad de barberos","Automatizar consultas de precios, horarios, ubicacion y disponibilidad de barberos","Pendiente","Facebook","Telefono no confirmado publicamente"
"B-008","Douglas Almendares Salon","Comayagua","Salon de belleza","+504 9573-4280","https://www.facebook.com/DouglasAlmendaressalon/","telefono | Facebook | WhatsApp","B","Publica citas por WhatsApp, promociones y servicios de salon","Gestionar citas, promociones, servicios y recordatorios para clientes","Gestionar citas, promociones, servicios y recordatorios para clientes","Pendiente","Facebook",""
"B-009","Allure Day Spa & Salon","Comayagua","Salon de belleza & day spa","+504 9912-3052 / 2772-2122","https://www.facebook.com/AllureComayagua/","telefono | Facebook","A","Maneja citas, spa y servicios de salon; varios canales de contacto","Responder disponibilidad, servicios de spa, precios y agendar citas automaticamente","Responder disponibilidad, servicios de spa, precios y agendar citas automaticamente","Pendiente","Facebook",""
"B-010","Bella Studio","Comayagua","Estudio de belleza","+504 9599-2271","https://www.facebook.com/bellastudiohn/","telefono | Facebook","B","Trabaja pestanas, visagismo, depilacion y servicios que suelen requerir cita","Automatizar dudas de servicios, agenda y confirmaciones para reducir mensajes manuales","Automatizar dudas de servicios, agenda y confirmaciones para reducir mensajes manuales","Pendiente","Facebook",""
"B-011","Pronabelle Sala de Belleza","Comayagua","Sala de belleza","+504 3348-0658","https://www.facebook.com/pronabelle/","telefono | Facebook | WhatsApp","B","Publica WhatsApp para citas y servicios de belleza, incluyendo eventos como novias","Captar clientes, organizar agenda por servicio y enviar recordatorios","Captar clientes, organizar agenda por servicio y enviar recordatorios","Pendiente","Facebook",""
"B-012","Ellas Salon","Barrio Torondon, Comayagua","Salon de belleza","+504 9587-2546","https://www.facebook.com/salonellas/","telefono | Facebook | WhatsApp","B","Ubicacion clara y reservas por DM o WhatsApp","Convertir mensajes de redes en citas, responder ubicacion/horarios y registrar interesados","Convertir mensajes de redes en citas, responder ubicacion/horarios y registrar interesados","Pendiente","Facebook",""
"B-013","Kary Beauty Salon","Comayagua","Salon de belleza y tienda","+504 8836-8171","https://www.facebook.com/p/Kary-Beauty-Salon-100063606279477/","telefono | Facebook | WhatsApp","B","Usa WhatsApp para agendar citas y combina salon con venta de productos","Gestionar reservas y preguntas de productos/servicios desde WhatsApp","Gestionar reservas y preguntas de productos/servicios desde WhatsApp","Pendiente","Facebook",""
"B-014","AE Nail Studio","Plaza San Blas, primer nivel, Comayagua","Nail studio / salon de unas","+504 9909-0478","https://www.instagram.com/aenailstudio/","telefono | Instagram | WhatsApp","B","Instagram activo, citas por WhatsApp y ubicacion en plaza","Agendar servicios por duracion, responder precios y enviar recordatorios","Agendar servicios por duracion, responder precios y enviar recordatorios","Pendiente","Instagram",""
"B-015","KASTUDIO / Smooch Academy Comayagua","Comayagua","Salon / academia de belleza","+504 9500-3160 / 3271-9198","https://m.facebook.com/KarolaAlvaradoSmoochAcademy/ | https://www.instagram.com/karolaalvarado.smoochacademy/","telefono | Facebook | Instagram","A","Trabaja por citas y ofrece formacion/servicios de belleza y barberia","Automatizar inscripcion, citas, servicios, horarios y preguntas frecuentes","Automatizar inscripcion, citas, servicios, horarios y preguntas frecuentes","Pendiente","Instagram / Facebook",""
"B-016","Barberia y VideoJuegos Yigo","3a Calle SE, Barrio Torondon, Comayagua","Barberia","+504 9456-3020","https://www.openstreetmap.org/node/4771009835","telefono | web | WhatsApp","B","Ficha publica de OpenStreetMap con telefono, email y horario 24/7","Responder horarios, ubicacion, servicios y convertir consultas en citas por WhatsApp","Responder horarios, ubicacion, servicios y convertir consultas en citas por WhatsApp","Pendiente","OpenStreetMap / Nominatim","Email publico en OSM: roes02012@yahoo.com"
"B-017","La Barberia de Ney","7a Calle NO, Barrio La Joya, Comayagua","Barberia","+504 2772-0738","https://www.openstreetmap.org/node/4680619424","telefono | web | WhatsApp","B","Ficha publica de OpenStreetMap con telefono y categoria hairdresser","Responder ubicacion, disponibilidad, servicios y agendar citas desde llamadas o WhatsApp","Responder ubicacion, disponibilidad, servicios y agendar citas desde llamadas o WhatsApp","Pendiente","OpenStreetMap / Nominatim",""
"B-018","Central Barber Shop","2a Calle NO, Barrio Torondon, Comayagua","Barber shop","No encontrado publicamente","https://www.openstreetmap.org/node/11026958254","web","C","Ficha publica de OpenStreetMap con horario y categoria hairdresser","Automatizar preguntas de horario, ubicacion, precios y disponibilidad de atencion","Automatizar preguntas de horario, ubicacion, precios y disponibilidad de atencion","Pendiente","OpenStreetMap / Nominatim","Telefono no confirmado publicamente en OSM; validar contacto antes de outreach"
"B-019","Yankee Barber Shop","1a Calle SO, Barrio Torondon, Comayagua","Barber shop","No encontrado publicamente","https://www.openstreetmap.org/node/11110251711","web","C","Ficha publica de OpenStreetMap con horario y categoria hairdresser","Responder horarios, ubicacion y canalizar solicitudes de cita cuando se confirme contacto","Responder horarios, ubicacion y canalizar solicitudes de cita cuando se confirme contacto","Pendiente","OpenStreetMap / Nominatim","Telefono no confirmado publicamente en OSM; validar contacto antes de outreach"
"B-020","Barberia El Boulevar","Boulevard Cuarto Centenario, Barrio Abajo, Comayagua","Barberia","No encontrado publicamente","https://www.openstreetmap.org/node/3563806602","web","C","Ficha publica de OpenStreetMap con horario y categoria hairdresser","Responder horarios, ubicacion y consultas frecuentes; requiere confirmar canal de contacto","Responder horarios, ubicacion y consultas frecuentes; requiere confirmar canal de contacto","Pendiente","OpenStreetMap / Nominatim","Telefono no confirmado publicamente en OSM; validar contacto antes de outreach"
"M16-001","Barberia Chirino","Tegucigalpa / Francisco Morazan","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Responder horarios ubicacion precios y disponibilidad por WhatsApp","Responder horarios ubicacion precios y disponibilidad por WhatsApp","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/way/484989462",""
"M16-002","Barberia Rapha","Tegucigalpa / Francisco Morazan","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Canalizar consultas de ubicacion horarios servicios y citas","Canalizar consultas de ubicacion horarios servicios y citas","Pendiente","OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/421155902",""
"M16-003","Barberia Dimas Jr.","Tegucigalpa / Francisco Morazan","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Responder preguntas repetidas y ordenar solicitudes de cita","Responder preguntas repetidas y ordenar solicitudes de cita","Pendiente","OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/485043254",""
"M16-004","Barberia el Master","Tegucigalpa / Francisco Morazan","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Responder horarios servicios precios y disponibilidad","Responder horarios servicios precios y disponibilidad","Pendiente","OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/421147534",""
"M16-005","Barberia Lasue","Tegucigalpa / Francisco Morazan","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Atender consultas por ubicacion horarios y reservas","Atender consultas por ubicacion horarios y reservas","Pendiente","OpenStreetMap / Nominatim - https://www.openstreetmap.org/way/421287119",""
"M16-006","La Barberia","Tegucigalpa / Francisco Morazan","Barberia","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Convertir mensajes de redes o llamadas en citas ordenadas","Convertir mensajes de redes o llamadas en citas ordenadas","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/4210868823",""
"M16-007","Lomas del Bulevar","Tegucigalpa / Francisco Morazan","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","B","","Ordenar citas por servicio y responder disponibilidad","Ordenar citas por servicio y responder disponibilidad","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3106167281",""
"M16-008","Esther Sala de Belleza","Tegucigalpa / Francisco Morazan","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Responder servicios horarios ubicacion y agendamiento","Responder servicios horarios ubicacion y agendamiento","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3121133276",""
"M16-009","Girl Sensation","Tegucigalpa / Francisco Morazan","Salon de belleza","No encontrado publicamente","No encontrado publicamente","no encontrado","C","","Ordenar agenda por servicios y consultas frecuentes","Ordenar agenda por servicios y consultas frecuentes","Pendiente","OpenStreetMap / Overpass - https://www.openstreetmap.org/node/3121133277",""
